idx,candidate,run1_tps,run2_tps,run3_tps,mean_tps,min_tps,max_tps,elapsed_s,status
1,NO_OVERRIDE,15.406,15.403,15.416,15.408,15.403,15.416,191.2,OK
2,"{""block_m"":16,""block_k"":64,""num_stages"":1}",17.926,17.924,17.921,17.924,17.921,17.926,119.1,OK
3,"{""block_m"":16,""block_k"":64,""num_stages"":2}",14.132,14.131,14.137,14.133,14.131,14.137,134.3,OK
4,"{""block_m"":16,""block_k"":64,""num_stages"":3}",13.851,13.849,13.859,13.853,13.849,13.859,135.8,OK
5,"{""block_m"":16,""block_k"":64,""num_stages"":4}",13.819,13.822,13.827,13.823,13.819,13.827,136.0,OK
6,"{""block_m"":16,""block_k"":128,""num_stages"":1}",15.414,15.408,15.423,15.415,15.408,15.423,130.6,OK
7,"{""block_m"":16,""block_k"":128,""num_stages"":2}",9.339,9.347,9.347,9.344,9.339,9.347,178.0,OK
8,"{""block_m"":16,""block_k"":128,""num_stages"":3}",9.140,9.149,9.147,9.145,9.140,9.149,179.9,OK
9,"{""block_m"":16,""block_k"":128,""num_stages"":4}",9.104,9.114,9.113,9.110,9.104,9.114,180.3,OK
10,"{""block_m"":32,""block_k"":64,""num_stages"":1}",18.893,18.888,18.901,18.894,18.888,18.901,116.1,OK
11,"{""block_m"":32,""block_k"":64,""num_stages"":2}",18.881,18.887,18.915,18.894,18.881,18.915,114.6,OK
12,"{""block_m"":32,""block_k"":64,""num_stages"":3}",18.689,18.688,18.708,18.695,18.688,18.708,114.6,OK
13,"{""block_m"":32,""block_k"":64,""num_stages"":4}",18.675,18.670,18.690,18.678,18.670,18.690,116.7,OK
14,"{""block_m"":32,""block_k"":128,""num_stages"":1}",18.525,18.521,18.529,18.525,18.521,18.529,119.2,OK
15,"{""block_m"":32,""block_k"":128,""num_stages"":2}",18.769,18.756,18.785,18.770,18.756,18.785,116.8,OK
16,"{""block_m"":32,""block_k"":128,""num_stages"":3}",18.813,18.814,18.832,18.820,18.813,18.832,118.4,OK
17,"{""block_m"":32,""block_k"":128,""num_stages"":4}",18.778,18.775,18.792,18.782,18.775,18.792,120.9,OK
